Alimento,Medida Caseira,Peso (g)
ABACAXI,Fatia grande,190.0
ABACAXI,Fatia média,75.0
ABACAXI,Fatia pequena,50.0
ABACAXI,Unidade média,750.0
ABACAXI,Unidade pequena,480.0
ABACAXI EM CALDA,Fatia média,64.0
ABACAXI EM CALDA,Fatia pequena,30.0
BOBORA COZIDA,Colher de sopa cháeia picado(a),25.0
BOBORA COZIDA,Colher de sopa rasa picado(a),16.0
ESC M CH PICADA,Escumadeira média rasa picado(a),70.0
ESC M CH PICADA,Pedaço médio,50.0
ESC M CH PICADA,Pedaço pequeno,30.0
ESC M CH PICADA,Colher de sopa cháeia picado(a),30.0
ESC M CH PICADA,Colher de sopa rasa picado(a),20.0
ESC M CH PICADA,Escumadeira média cháeia picado(a),105.0
ESC M CH PICADA,Colher de arroz cháeia picado(a),70.0
ESC M CH PICADA,Colher de arroz rasa picado(a),35.0
ABOBRINHAREFOGADA,Colher de arroz cháeia picado(a),70.0
ABOBRINHAREFOGADA,Colher de arroz rasa picado(a),35.0
ABOBRINHAREFOGADA,Colher de sopa cháeia picado(a),30.0
ABOBRINHAREFOGADA,Colsrpicada,20.0
ABOBRINHAREFOGADA,Escumadeira média rasa picado(a),40.0
ACELGA,Colher de arroz cháeia picado(a),10.0
ACELGA,Colher de sopa cháeia picado(a),6.0
ACELGA,Folha grande,20.0
ACELGA,Folha média,10.0
ACELGA,Folha pequena,30.0
ACELGA,Prato raso R Picada,60.0
ACEROLA,Unidade,12.0
ACUW MASCAVO,Col Caféé Ch,23.0
ACUW MASCAVO,Col Caféé R,10.0
ACUW MASCAVO,Colher de cháá cháeia,4.0
ACUW MASCAVO,Colher de cháá rasa,2.5
ACUW MASCAVO,Colher de sopa cháeia,19.0
ACUW MASCAVO,Colher de sopa rasa,11.0
ACUW MASCAVO,Colher de sobremesa rasa,7.0
ACUW MASCAVO,X Caféé Ch,56.0
ADES ORIGINAL,Copo duplo (240ml) (240ml),240.0
ADES ORIGINAL,Copo pequeno (165ml),165.0
ADES ORIGINAL,Unidade,250.0
AGRIAO,Pires Ch Picado,10.0
AGRIAO,Prato de sobremesa Ch Picado,20.0
AGRIAO,Ramo M,5.0
AGRIAO REFOGADO,Colher de arroz rasa,35.0
AGRIAO REFOGADO,Colher de sopa cháeia,25.0
AGRIAO REFOGADO,Garfada,300.0
AGUA DE COCO,Copo duplo (240ml) (240ml),240.0
AGUARDENTE,Dose,50.0
AIPIM COZIDO,Colher de sopa cháeia picado(a),30.0
AIPIM COZIDO,Colher de sopa rasa picado(a),20.0
AIPIM COZIDO,Pedaço grande,180.0
AIPIM FRITO,Colher de arroz cháeia picado(a),60.0
AIPIM FRITO,Colher de arroz rasa picado(a),35.0
AIPIM FRITO,Escumadeira média cháeia picado(a),95.0
AIPIM FRITO,Escumadeira média rasa picado(a),65.0
AIPIM FRITO,Pedaço grande,155.0
AIPIM FRITO,Pedaço pequeno,350.0
ALFACE,Colher de sopa cháeia picado(a),25.0
ALFACE,Folha grande,15.0
ALFACE,Folha média,100.0
ALFACE,Pires Ch Picada,200.0
ALFACE,Pt Rchá Picada,800.0
ALFACE,Unidade grande,400.0
ALFACE,Unidade média,200.0
ALFACE,Unidade pequena,130.0
ALL BRAN KELLOGG S,Caixa,250.0
ALL BRAN KELLOGG S,Copo duplo (240ml) (240ml),83.0
AI MONDIGA,Unidade média,500.0
AI MONDIGA,Unidade pequena,30.0
LIGHT SADIA,Caixa Com,20.0
LIGHT SADIA,Unidade,250.0
LIGHT SADIA,Unidade grande,520.0
LIGHT SADIA,Unidade média,42.0
LIGHT SADIA,Unidade pequena,34.0
AMEIXA SECA,Unidade média,5.0
AMEIXA VERMELHA,Unidade média,16.0
AMENDOA,Unidade,10.0
CARAMELIZADO,Pacote P,200.0
TORRADO COM SAL,Canudo,350.0
TORRADO COM SAL,Cols,170.0
TORRADO COM SAL,Pacote P,50.0
TORRADO COM SAL,Punhado,300.0
TORRADO COM SAL,Unidade,8.0
ANGU,Concháa média cháeia,150.0
ANGU,Colher de arroz cháeia,60.0
ANGU,Colher de sopa cháeia,35.0
ANGU,Pedaço grande,200.0
ANGU,Pedaço médio,1500.0
ARROZ A GREGA,Colher de arroz cháeia,45.0
ARROZ A GREGA,Colher de arroz rasa,30.0
ARROZ A GREGA,Colher de sopa cháeia,25.0
ARROZ A GREGA,Colher de sopa rasa,15.0
ARROZ A GREGA,Escumadeira média cháeia,85.0
ARROZ A GREGA,Escumadeira média rasa,60.0
CO M CH,Colher de arroz cháeia,45.0
CO M CH,Colher de arroz rasa,30.0
CO M CH,Colher de sopa cháeia,25.0
CO M CH,Colher de sopa rasa,15.0
CO M CH,Escumadeira média rasa,60.0
CO M CH,Ptfchá,200.0
ARROZ DOCE,Concháa média cháeia,140.0
ARROZ DOCE,Colher de arroz cháeia,90.0
ARROZ DOCE,Colher de arroz rasa,50.0
ARROZ DOCE,Colher de sopa cháeia,25.0
ARROZ DOCE,Colher de sopa rasa,25.0
ARROZ DOCE,Colher de sobremesa rasa,15.0
ARROZ DOCE,Pires,1200.0
ARROZ DOCE,Prato raso,400.0
ARROZ DOCE,Prato de sobremesa,280.0
ARROZ INTEGRAL COZIDO,Colher de sopa cheia,20.0
ARROZ INTEGRAL COZIDO,Colher de sopa rasa,12.0
ARROZ INTEGRAL COZIDO,Colher de arroz cheia,63.0
ARROZ INTEGRAL COZIDO,Colher de arroz rasa,43.0
ARROZ INTEGRAL COZIDO,Escumadeira média cheia,59.0
ARROZ INTEGRAL COZIDO,Escumadeira média rasa,31.0
ARROZ INTEGRAL COZIDO,Concha média cheia,117.0
ASPARGO EM CONSERVA,Unidade média,75.0
ATUM EM CONSERVA,Colher de sopa cháeia,16.0
ATUM EM CONSERVA,Colher de sopa rasa,11.0
ATUM EM CONSERVA,Colher de sobremesa rasa,15.0
AVEIA EM FLOCOS,Colher de cháá cháeia,5.0
AVEIA EM FLOCOS,Colher de cháá rasa,15.0
AVEIA EM FLOCOS,Colher de sopa cháeia,15.0
AVEIA EM FLOCOS,Colher de sopa rasa,25.0
AVEIA EM FLOCOS,Colher de sobremesa rasa,15.0
AVEIA FARINHA,Colher de cháá cháeia,4.0
AVEIA FARINHA,Colcháár V,673.0
AVEIA FARINHA,Colher de sopa cháeia,18.0
AVEIA FARINHA,Colher de sopa rasa,25.0
AVEIA FARINHA,Colher de sobremesa cháeia,8.0
AVELA,Punhado,250.0
AVELA,Unidade,10.0
AZEITE DE DENDE,Col Chá,20.0
AZEITE DE DENDE,Cols,80.0
AZEITE DE DENDE,Col Sob,50.0
AZEITONA,Unidade média,30.0
BABA DE MOCA,Colher de arroz cháeia,50.0
BABA DE MOCA,Colher de cháá cháeia,12.0
BABA DE MOCA,Colher de sopa cháeia,30.0
BABA DE MOCA,Porção,90.0
BACALHAU COZIDO,Colher de arroz cháeia,55.0
BACALHAU COZIDO,Colher de arroz rasa,40.0
BACALHAU COZIDO,Colher de sopa rasa,15.0
BACALHAU COZIDO,Escumadeira média cháeia,60.0
BACALHAU COZIDO,Escumadeira média rasa,48.0
BACALHAU COZIDO,Pedaço grande,220.0
BACALHAU COZIDO,Pedaço médio,1350.0
BACALHAU COZIDO,Pedaço pequeno,70.0
BACON,Fatia média,150.0
BACON,Unidade,50.0
BACON,Unidade grande,1500.0
BANANA D AGUA,Unidade grande,90.0
BANANA D AGUA,Unidade média,700.0
BANANA D AGUA,Unidade pequena,400.0
BANANA DA TERRA FRITA,Fatia grande,42.0
BANANA DA TERRA FRITA,Fatia média,310.0
BANANA DA TERRA FRITA,Fatia pequena,150.0
FRITA C AC,Fatia grande,48.0
FRITA C AC,Fatia média,350.0
FRITA C AC,Fatia pequena,170.0
BANANA PRATA,Unidade grande,55.0
BANANA PRATA,Unidade média,40.0
BANANA PRATA,Unidade pequena,300.0
BANANADA,Unidade grande,50.0
BANANADA,Unidade média,40.0
BARQUETE DE LEGUMES,Unidade média,22.0
BATATA BAROA COZIDA,Colher de arroz rasa picado(a),35.0
BATATA BAROA COZIDA,Colher de sopa cháeia picado(a),35.0
BATATA BAROA COZIDA,Colher de sopa rasa picado(a),15.0
BATATA BAROA COZIDA,Pedaço grande,75.0
BATATA BAROA COZIDA,Pedaço médio,50.0
BATATA BAROA COZIDA,Unidade grande,580.0
BATATA BAROA COZIDA,Unidade média,140.0
BATATA BAROA COZIDA,Fatia grande,90.0
BATATA DOCE FRITA,Fig,840.0
BATATA DOCE FRITA,Fatia pequena,30.0
BATATA DOCE FRITA,Pacote M,135.0
BATATA DOCE FRITA,Pacotep,720.0
BATATA DOCE FRITA,Punhado,12.8
BATATA DOCE FRITA,Unidade,13.0
BATATA DOCE FRITA,Colher de sopa cháeia picado(a),30.0
BATATA DOCE FRITA,Unidade média,140.0
BATATA DOCE FRITA,Colher de arroz cháeia,50.0
